obj1_feat_0_binary,obj1_feat_1_nominal,obj1_feat_2_ordinal,obj1_feat_3_quantitative,obj1_feat_4_binary,obj2_feat_0_binary,obj2_feat_1_nominal,obj2_feat_2_ordinal,obj2_feat_3_quantitative,collision
1,B,4,-0.16756398432701844,0,1,B,4,0.6861864559881746,True
0,B,1,0.46459957466368484,0,0,A,2,2.010514646054359,False
1,A,1,0.9588238906650824,1,0,C,4,-0.5349230076224464,False
0,B,1,-0.6951237818627458,1,0,B,3,-1.7506102499940572,True
0,D,0,0.44225728933997094,0,1,D,1,-0.3867049045838263,True
1,A,3,-2.065280850052102,0,0,B,3,0.5141827500161086,False
1,A,0,0.7328459969878379,1,1,C,2,-0.26655152767491735,True
0,B,4,-0.8892860733821986,0,0,D,0,0.0074797344679505984,False
1,D,4,-0.8312593174653246,1,0,D,1,0.6842477736925865,False
1,B,3,0.17524829705860215,0,0,C,4,-0.5577952718255677,True
1,C,4,0.3533452947066336,1,0,C,2,-0.9809541963422526,True
0,B,2,0.9085529100226819,1,1,A,3,1.2456347777956878,True
1,D,2,-0.2508192154799795,0,1,A,2,0.01962716034651772,True
0,D,1,-0.5521217273796566,1,1,B,4,-0.23758735903479156,False
0,C,3,0.3148648187283961,1,0,B,1,0.4213209437641979,False
0,C,3,-0.017880328551834215,1,0,A,1,-0.6078630278199215,False
0,A,3,0.8566637795563542,0,1,A,3,-0.7739829678916595,True
0,B,2,-0.10715845004997274,0,1,B,2,0.7124043016776103,True
0,C,4,1.1397220755638342,1,0,B,3,1.6972873591414963,True
1,A,4,-0.24116848157785273,0,1,C,4,-0.49392133305712643,True
1,C,0,0.3848298682942282,1,0,D,3,-0.38885286905610345,False
0,C,4,0.1790871708115136,0,0,B,4,-0.5208189737813574,True
0,D,3,-1.0484897972550546,1,1,C,2,0.26384717756715415,True
0,C,1,-0.19739277600053962,0,0,D,1,-2.0238013565724353,False
1,B,4,-1.0302513629865975,1,1,A,4,-0.6744127712516469,True
1,A,4,-0.6453526973370978,0,0,B,0,1.5489230112125922,False
1,B,1,-0.7721045089236943,0,1,D,2,-0.0827708740325521,True
1,A,2,-1.699999684173361,0,0,B,3,0.46603499477842975,False
1,C,4,-0.20251315140868514,0,1,C,1,0.7473793413937774,True
1,A,0,0.25602850900811924,0,1,C,1,-0.21816368749569498,True
0,C,1,0.29159709544637763,0,1,B,4,0.5792817079225406,False
1,C,0,0.8570140813704312,0,1,A,0,0.7530477466335533,True
0,A,4,0.2498943656606361,0,0,C,3,-0.19934780349761022,True
0,A,0,1.7797936325350319,1,0,C,3,-0.2882055536793261,False
1,A,0,0.25054138319477554,1,1,C,3,-0.3921498448475951,True
0,C,1,-1.3805081824791026,1,0,D,4,-0.9419701073285236,False
1,C,4,-0.37770095588459324,0,0,A,0,0.45730017946644896,False
0,C,1,0.48233692443275117,0,1,B,3,1.1941610457093261,False
0,D,3,-1.3103028639259515,0,1,D,2,-1.8513492307463306,True
0,D,4,-0.6005407328297253,1,0,A,3,0.2450803568327752,True
0,B,2,1.242648729851389,0,0,B,3,0.861859221505231,True
