obj1_feat_0_binary,obj1_feat_1_nominal,obj1_feat_2_ordinal,obj1_feat_3_quantitative,obj1_feat_4_binary,obj2_feat_0_binary,obj2_feat_1_nominal,obj2_feat_2_ordinal,obj2_feat_3_quantitative,collision
1,D,3,-0.8989362669582049,0,0,A,4,1.4370774869085259,False
0,B,1,0.21871694976415482,0,1,A,0,0.26853308387023367,True
1,B,2,-0.0009032678067085315,1,0,C,4,-0.19647765961986485,False
0,B,1,0.8872598060662465,0,1,A,4,0.0028565820377718454,False
0,A,4,0.014184162151996313,1,1,B,0,0.7307717892053059,False
1,C,4,1.4192577578922865,1,0,B,2,0.865702754484562,False
1,A,0,-0.32460793329754933,0,1,C,1,2.389520953620846,True
0,D,1,0.29338088838316856,1,1,C,3,-0.030185295219803808,False
1,D,1,1.218892781987674,0,0,D,3,-0.6162405290117077,False
1,D,2,-0.01772332953200575,0,0,B,2,0.5254617618240247,True
1,D,0,-0.20342469848765787,0,0,B,2,-0.6414110984048135,False
0,B,0,-0.647538646198237,1,1,B,0,-0.6940858246270921,True
1,B,3,-0.5069945932870008,0,1,C,4,-1.5129835165975187,True
0,B,3,1.5443870241846,0,1,D,1,-1.1863430242285886,False
0,D,0,1.4418003133913901,0,1,B,3,-0.13340597982129004,False
0,D,1,0.8521305653615493,1,1,A,1,0.5750231678702762,True
0,D,2,1.0793101469231696,1,0,A,0,1.3446225722490206,False
0,B,2,0.810136008303241,1,1,C,4,0.618832555416498,False
0,D,0,-0.5906309025119212,0,1,C,3,0.4065570891886112,False
1,D,1,-0.2438661714705901,1,1,D,4,0.45897343445198,True
1,A,2,0.012488636540301063,0,1,D,0,-0.630511018121743,True
0,D,4,-1.221275624968069,0,1,B,0,0.7344276583131584,False
0,C,3,0.8607184391337789,0,0,D,4,-0.5548130404824568,True
0,A,4,1.5560571820935982,1,0,A,3,0.21355000835128668,True
1,D,1,-1.0076166766463406,0,0,D,2,-0.10269745778738876,True
1,D,0,-0.7475873380623502,0,0,D,0,-0.658231751246411,True
1,B,1,-1.3725669585364755,1,1,C,4,0.2093758187422378,False
1,B,0,-0.3726674702948998,1,0,B,1,2.232161776885672,True
1,D,1,-0.02424875663498737,0,1,C,2,-0.26438527136795126,True
1,A,1,0.9858973073763376,0,1,A,4,-0.26252372688069764,True
0,B,0,-1.1259309611298984,0,1,D,3,0.9632825838857987,False
1,A,0,0.13349989011634492,1,0,B,4,-0.18640253671481144,False
0,D,1,0.8757782082085465,1,1,D,3,1.1404312861693497,True
0,A,2,-1.1251188689135643,1,0,C,0,0.013589993878392055,False
1,A,3,-0.12140624608468645,0,1,B,0,-0.022080579738556004,True
0,B,2,-2.0233777773375023,0,1,B,3,-0.559526342075276,True
1,D,3,-0.45316992613095475,0,0,B,1,-1.8039346434948471,False
0,A,0,2.397354474838235,1,1,D,1,0.7053170444296526,False
0,C,4,0.618811305864225,1,0,D,1,0.3996861282495687,False
0,D,2,-0.6623868063924043,1,0,D,0,0.8438413592652835,False
0,B,2,-0.5035575570045385,0,0,D,4,-1.7716114843190551,False
1,A,2,1.6096512600951327,1,0,D,2,0.6539758280551312,True
1,B,3,1.141581833407408,0,1,C,1,-0.84373660028948,False
0,B,3,0.8772501962485624,1,0,D,4,0.7973478280248032,True
1,D,4,-1.6128271229707298,1,0,D,3,-2.041209726278,True
0,D,1,1.0102307777451855,1,1,A,4,1.288566729247206,False
1,D,2,0.8856611053701076,1,1,C,4,-1.0289164588008113,False
1,A,1,-1.3977296621759745,0,0,B,4,0.10408662479752502,False
0,A,2,0.4800591521426869,1,0,C,2,0.13900134713845502,True
0,D,0,-0.43053378536672365,1,0,C,0,0.5455873292015905,True
1,D,0,-1.3258430507725754,1,0,A,0,-0.6881694231843241,True
1,B,3,-1.6544945870532195,1,0,C,3,0.16307314281994734,False
0,A,2,0.09886233986088086,0,0,C,1,0.654982421043052,True
1,A,0,-1.4403480601326253,1,0,A,2,0.38689290005004523,False
0,D,3,-0.9125684632249118,0,1,A,4,1.8281147754444806,False
0,D,2,0.6654086752264595,0,1,C,3,-0.9681110950202985,False
1,C,3,0.17919194122643436,0,0,A,4,-0.3856627943858043,True
0,D,4,1.743874929366303,0,0,B,2,0.979321077656848,False
1,B,0,1.0422942772155548,1,0,C,1,-0.9030938707761976,False
1,A,2,-0.20818979072865706,1,0,B,3,0.35271747918419316,True
0,B,4,-0.9140988675746055,1,0,B,1,0.37880663745515825,True
0,A,4,1.0062353747597768,1,1,A,2,-0.033947593344680754,True
1,A,2,-1.0161532250508354,0,0,A,2,-0.15010919552767074,True
1,A,4,1.1475267114308803,1,1,B,0,0.1296155543957166,True
1,A,3,-0.0791890699871088,0,1,B,4,0.4009859813467149,True
0,A,2,-1.610968590691456,1,1,D,2,-0.5525897740184307,True
1,D,4,-0.11323464356605364,0,0,D,1,0.025092450469296042,True
0,C,1,-0.9661510065144506,1,0,C,1,-1.175651653582349,True
1,A,4,-0.5825496669427577,1,1,B,2,-1.1147032680976057,True
0,B,2,-0.0394450552964691,1,1,B,4,-0.794984501533924,True
1,B,1,1.4942610667747145,0,0,C,2,0.7650097917778779,True
0,A,2,0.4099926136290726,1,0,C,2,-1.7465664758648485,False
0,D,3,-2.116000626351397,1,1,D,2,-0.24632993745047407,True
1,B,3,0.43170496684734394,1,1,A,3,-0.11922967539715193,True
0,C,0,-0.8534396070144283,0,1,A,2,-0.532032359881098,False
1,B,4,-0.5185737646650475,1,1,A,2,-0.6350581622430573,True
0,D,3,-0.8379957792256367,1,0,A,2,-0.7410899058649162,True
1,C,1,0.0539631859046713,0,0,D,4,0.3532805041126926,False
1,D,1,-0.7820203362164126,1,0,B,3,-0.8598563899617468,False
0,B,1,-0.9449770253843688,0,1,A,0,-0.7261673755507188,True
0,D,2,0.54862629761458,0,1,A,3,2.0477511251670735,True
0,D,2,1.277266597422618,1,1,B,1,-0.2459432173911898,False
1,A,3,-0.6246614982802536,1,1,B,0,-1.7935160410754116,True
0,A,3,0.329823681312274,0,1,B,4,1.6799218219715073,True
1,A,1,0.5293764025409154,1,1,D,2,-0.2413557799023084,True
1,B,0,0.41005570640960554,0,1,D,2,2.407796702357772,False
0,A,3,-2.24039862583905,0,0,C,4,-1.9270546866296985,True
1,A,3,-1.5415682374312647,1,1,D,4,-0.48302218911178346,True
1,C,0,1.3325215411403122,0,1,C,4,-0.6368605219338892,True
0,A,4,1.3605948996672022,1,1,C,4,0.33047738873498367,True
