tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4,stabf
2.03785454998926,0.832228792030236,9.03966967270321,3.21721366506303,4.30107608771722,-0.913396341459081,-1.50638136996856,-1.88129837628958,0.524071278716654,0.250259796475184,0.771682198052091,0.542523843283073,0
9.5422814627156,3.93921068035529,3.35156776473076,4.95891112164566,4.18559179429767,-1.19677178525628,-1.54616949425421,-1.44265051478718,0.740940053554942,0.979317339344117,0.738285278271504,0.720767181384644,1
1.26624323560223,6.43699325006946,5.98039639535293,7.68540500888992,3.30618798423369,-1.18344173324971,-0.978771037233877,-1.1439752137501,0.785734091532668,0.113174113295055,0.572894770247044,0.926997131890416,1
8.82633611239336,8.92022420804801,9.29099290175473,2.27056544662494,4.13060090625751,-1.72424656389109,-0.565271475442592,-1.84108286692383,0.41511722870671,0.296585415456328,0.307635693570627,0.510282667925369,1
8.63544489169104,3.03399381802463,8.7340177164922,9.43119059960928,3.65712243804635,-1.00695354231418,-1.47016745103154,-1.18000144470063,0.279595517823977,0.977277020664905,0.304630720713269,0.0703203996203025,0
5.38831539532299,3.65082553475234,1.28300939549716,5.37946287132959,4.13508644700452,-0.668170662594296,-1.68905280768219,-1.77786297672803,0.325902859427077,0.296939444679228,0.307241934688853,0.48140107209614,0
6.73728102226809,8.1503901474174,6.0425992138081,6.2298286252983,3.54465990224301,-0.717865757886414,-1.67583114585625,-1.15096299850035,0.482174389603049,0.925401016732569,0.284596659259531,0.77776832912959,1
5.7305795333387,6.90658845350354,8.93832171184764,9.66712160685604,3.48249379908529,-0.876829575000831,-0.838302661936043,-1.76736156214842,0.712964105355152,0.150275006671591,0.170614751270128,0.918236959525865,1
2.39664277808574,5.21268080929595,1.40018598634255,7.48407856030264,3.236493750283,-0.713319972910767,-1.52754355009749,-0.995630227274739,0.627475310847164,0.890979268218507,0.622992744565726,0.0626904241030151,0
7.107139187832,8.5421960759904,9.17539761753005,8.28281354033111,5.81870547181189,-1.86978344381843,-1.96599182315068,-1.98293020484278,0.130466614428292,0.871417835962748,0.612947153518281,0.223611435855535,1
6.62630310292459,6.92674146632744,0.806420497628325,9.27066701327819,3.52107824000426,-1.06892460851499,-1.84279175767109,-0.609361873818177,0.507084545138781,0.538649733579527,0.428569498578624,0.147443935092047,0
6.67702573510702,6.77576102640499,7.92205781402336,5.57626433991427,1.80156499761874,-0.589998443746916,-0.651777368944138,-0.559789184927684,0.848425839616795,0.276241151047082,0.625175653355944,0.0970290843436273,1
