iter	Logloss
0	0.5334491334
1	0.4226469113
2	0.344893025
3	0.2810032245
4	0.2335637661
5	0.1954851328
6	0.1646176031
7	0.1413209175
8	0.1218920265
9	0.1054679078
10	0.09262917107
11	0.08185805024
12	0.07238999664
13	0.06445433403
14	0.05843281564
15	0.05261017012
16	0.04829756523
17	0.04553619135
18	0.0419015603
19	0.03903734801
20	0.03621165791
21	0.03376516123
22	0.03198973025
23	0.03019758964
24	0.02817861005
25	0.02677281281
26	0.02546879086
27	0.02436904073
28	0.02355139894
29	0.02254024568
30	0.02183206277
31	0.02113925329
32	0.02056790545
33	0.0199102162
34	0.01932319266
35	0.01880203622
36	0.01839171238
37	0.01804730358
38	0.01763072405
39	0.01740820421
40	0.01698501149
41	0.01641234935
42	0.01606994379
43	0.01592069115
44	0.01574539122
45	0.01569456611
46	0.0154570887
47	0.01522947426
48	0.0148526249
49	0.01456369494
50	0.01411246211
51	0.01410405935
52	0.01392613812
53	0.01379229749
54	0.01357912679
55	0.01345950267
56	0.0132609925
57	0.01323733304
58	0.01310600739
59	0.01310086902
60	0.01289407282
61	0.01272130039
62	0.01270720581
63	0.01269220967
64	0.01259947813
65	0.01259355597
66	0.01258891059
67	0.01235267973
68	0.01234052168
69	0.01233614103
70	0.01233192506
71	0.0123282469
72	0.01221012678
73	0.01214663396
74	0.01214333831
75	0.01213904626
76	0.01204064687
77	0.01173810698
78	0.01169736893
79	0.01163512788
80	0.01154168447
81	0.01153806884
82	0.01140123586
83	0.01121372369
84	0.0111054457
85	0.01110180714
86	0.01093940526
87	0.01093595849
88	0.01088446216
89	0.01087721632
90	0.01087430318
91	0.01077760999
92	0.01060584647
93	0.01046650371
94	0.01046431911
95	0.01036212483
96	0.01035996838
97	0.0102747766
98	0.01023068246
99	0.01017864519
