obj1_feat_0_binary,obj1_feat_1_nominal,obj1_feat_2_ordinal,obj1_feat_3_quantitative,obj1_feat_4_binary,obj1_feat_5_nominal,obj2_feat_0_binary,obj2_feat_1_nominal,obj2_feat_2_ordinal,obj2_feat_3_quantitative,obj2_feat_4_binary,obj2_feat_5_nominal,collision
1,4,3,-0.8989362669582049,0,2,0,4,4,-0.9329278487873632,0,2,True
0,2,1,0.21871694976415482,0,4,0,1,4,0.935041067670655,1,4,True
1,2,2,-0.0009032678067085315,1,2,1,4,1,-0.32956534805997734,0,2,True
0,2,1,0.8872598060662465,0,4,0,4,2,0.9837978702530091,1,3,True
0,1,4,0.014184162151996313,1,4,0,1,3,0.6623982997205272,0,2,True
1,3,4,1.4192577578922865,1,2,0,3,3,-0.16873554782460257,0,1,True
1,1,0,-0.32460793329754933,0,3,1,2,1,-0.001588813018977628,1,4,True
0,4,1,0.29338088838316856,1,3,1,3,3,-0.20374510952282715,0,1,False
1,4,1,1.218892781987674,0,1,1,3,4,-0.13035132492737142,1,1,True
1,4,2,-0.01772332953200575,0,2,0,3,2,-1.279720582609526,0,3,True
1,4,0,-0.20342469848765787,0,2,0,3,0,-0.5561932175023844,0,4,True
0,2,0,-0.647538646198237,1,4,0,1,4,-0.8794774887522929,1,1,True
1,2,3,-0.5069945932870008,0,3,1,4,2,1.5036260909810901,0,3,True
0,2,3,1.5443870241846,0,4,1,2,1,-1.1736164489030019,0,1,False
0,4,0,1.4418003133913901,0,3,0,3,1,1.0551363195277548,0,3,True
0,4,1,0.8521305653615493,1,3,0,2,3,-1.583380267637803,1,3,True
0,4,2,1.0793101469231696,1,1,0,1,4,0.9416468404438777,0,2,False
0,2,2,0.810136008303241,1,4,1,4,1,0.5462661978519762,0,4,True
0,4,0,-0.5906309025119212,0,3,1,3,1,1.1128190747571411,1,2,False
1,4,1,-0.2438661714705901,1,4,1,4,4,0.45650656991388483,1,3,True
1,1,2,0.012488636540301063,0,4,1,1,0,1.1766656594195244,0,4,True
0,4,4,-1.221275624968069,0,4,0,1,2,-0.7028975170997831,1,4,True
0,3,3,0.8607184391337789,0,2,1,4,1,0.40705336935484426,1,1,False
0,1,4,1.5560571820935982,1,2,0,3,1,-0.03535460268100101,0,3,False
1,4,1,-1.0076166766463406,0,2,1,3,3,-0.9821377671905286,0,2,True
1,4,0,-0.7475873380623502,0,1,1,1,4,0.09843216212686803,0,4,True
1,2,1,-1.3725669585364755,1,3,1,4,1,-0.9007181935887664,1,4,True
1,2,0,-0.3726674702948998,1,1,0,2,0,-2.63681483383896,0,2,True
1,4,1,-0.02424875663498737,0,3,1,2,3,1.107946204077615,0,2,True
1,1,1,0.9858973073763376,0,4,0,4,3,0.4916215652850193,1,2,False
0,2,0,-1.1259309611298984,0,3,1,3,0,0.2517088542302886,1,4,True
1,1,0,0.13349989011634492,1,2,0,4,3,1.203731046799828,1,3,True
0,4,1,0.8757782082085465,1,4,1,3,0,0.496013933538763,1,2,True
0,1,2,-1.1251188689135643,1,1,1,1,1,0.839868270568236,1,3,True
1,1,3,-0.12140624608468645,0,4,0,1,3,1.2767551547542366,1,3,True
0,2,2,-2.0233777773375023,0,3,0,3,1,-1.051716623359894,0,2,True
1,4,3,-0.45316992613095475,0,2,0,1,0,1.4761171367772379,0,3,False
0,1,0,2.397354474838235,1,4,1,2,0,-1.1129068321727933,1,2,True
0,3,4,0.618811305864225,1,2,1,2,0,-1.0083625571969905,1,2,True
0,4,2,-0.6623868063924043,1,1,1,1,4,-1.011797489025269,0,2,False
0,2,2,-0.5035575570045385,0,1,1,4,1,-0.2008191570188004,0,3,True
1,1,2,1.6096512600951327,1,2,1,2,4,1.5551640750418987,0,4,True
1,2,3,1.141581833407408,0,3,1,2,1,1.5958329467473582,0,4,True
0,2,3,0.8772501962485624,1,2,1,4,2,-0.3260851763179098,1,4,True
1,4,4,-1.6128271229707298,1,1,1,3,2,-1.4038447122319182,1,1,True
0,4,1,1.0102307777451855,1,4,0,4,0,-0.5220465437886359,1,4,True
1,4,2,0.8856611053701076,1,3,1,4,1,1.1136233243697335,0,2,True
1,1,1,-1.3977296621759745,0,2,0,4,1,0.9465045515205847,0,1,False
0,1,2,0.4800591521426869,1,1,1,3,2,-0.21799956776142898,1,2,True
0,4,0,-0.43053378536672365,1,2,1,1,4,0.5781395723373298,1,4,True
1,4,0,-1.3258430507725754,1,1,0,1,2,-1.2178774135853676,1,2,True
1,2,3,-1.6544945870532195,1,1,1,4,0,0.13082263495118632,1,2,False
0,1,2,0.09886233986088086,0,2,1,2,4,-0.3141985542532182,0,4,False
1,1,0,-1.4403480601326253,1,1,0,3,4,-0.4125018407708851,0,3,False
0,4,3,-0.9125684632249118,0,4,0,4,2,0.6370122546148674,0,1,True
0,4,2,0.6654086752264595,0,4,1,3,4,-0.6336199643265283,0,4,True
1,3,3,0.17919194122643436,0,2,0,4,3,-1.3910627076676896,0,1,False
0,4,4,1.743874929366303,0,1,0,2,1,0.6989017641554742,1,4,False
1,2,0,1.0422942772155548,1,2,1,2,3,0.2529675125250652,0,4,True
1,1,2,-0.20818979072865706,1,1,0,3,1,-0.5238051372688334,1,4,True
0,2,4,-0.9140988675746055,1,1,0,2,2,2.103528275859708,0,2,False
0,1,4,1.0062353747597768,1,3,0,3,0,-0.7435767627970823,1,1,False
1,1,2,-1.0161532250508354,0,1,0,2,4,0.16442030409630462,0,1,True
1,1,4,1.1475267114308803,1,4,0,1,1,-1.3794816681991255,0,1,False
1,1,3,-0.0791890699871088,0,3,0,4,4,0.17610471347840612,0,1,True
0,1,2,-1.610968590691456,1,4,1,2,4,0.20348892153406833,0,4,False
1,4,4,-0.11323464356605364,0,2,1,2,3,0.27092292966997766,0,2,True
0,3,1,-0.9661510065144506,1,1,1,2,1,-0.8054231821760659,1,1,True
1,1,4,-0.5825496669427577,1,3,0,3,3,0.05094975534234103,0,3,True
0,2,2,-0.0394450552964691,1,3,0,4,2,-0.015374164737111253,0,4,True
1,2,1,1.4942610667747145,0,1,1,3,4,-0.6874328438943366,0,4,False
0,1,2,0.4099926136290726,1,2,1,3,2,0.36329435915679276,0,4,True
0,4,3,-2.116000626351397,1,4,1,2,1,-0.3342076622034412,1,4,True
1,2,3,0.43170496684734394,1,3,0,3,1,0.014262930497950879,0,2,False
0,3,0,-0.8534396070144283,0,3,0,3,2,-1.6704907401094629,1,3,True
1,2,4,-0.5185737646650475,1,4,0,2,0,-0.22075436099604676,1,1,True
0,4,3,-0.8379957792256367,1,1,0,2,1,-0.970942778782949,1,1,True
1,3,1,0.0539631859046713,0,1,1,4,3,-1.571474440254773,1,2,False
1,4,1,-0.7820203362164126,1,2,0,4,4,0.8577872135803369,0,3,False
0,2,1,-0.9449770253843688,0,4,0,1,0,0.09304335099580971,1,2,True
0,4,2,0.54862629761458,0,4,0,4,0,-1.2266514370530284,1,2,False
0,4,2,1.277266597422618,1,4,0,2,0,-1.9788312266651935,1,2,False
1,1,3,-0.6246614982802536,1,4,0,1,2,1.2849831420000168,1,1,True
0,1,3,0.329823681312274,0,3,0,4,4,-0.7006154084508674,1,1,True
1,1,1,0.5293764025409154,1,4,1,3,3,-0.9397294202605603,0,2,True
1,2,0,0.41005570640960554,0,4,1,2,3,1.5400226081204584,0,1,True
0,1,3,-2.24039862583905,0,1,1,4,2,-1.583773010522934,1,2,True
1,1,3,-1.5415682374312647,1,4,1,4,1,-0.07828209813498391,0,1,True
1,3,0,1.3325215411403122,0,3,1,4,2,-0.6652022881633335,1,3,True
0,1,4,1.3605948996672022,1,4,1,4,0,-0.05200027879007435,0,2,False
1,3,0,-0.4287315440161807,1,1,1,1,0,0.08198287754219419,0,3,True
0,3,2,0.6084373987187114,1,3,0,2,0,-0.6902761832205412,0,2,False
1,2,2,0.08573841267633045,0,1,1,2,4,-0.4549702392872646,0,2,True
0,4,0,0.18396789645279146,0,4,1,3,1,-0.1701253115068376,0,4,True
0,1,0,0.18458398874208204,0,3,1,3,2,0.22549123940454457,1,4,False
1,4,3,0.6970365845022047,1,1,1,1,1,0.9935464694333173,0,2,True
0,4,2,0.9154153087269091,0,3,0,1,0,-0.6276188264824241,1,3,False
0,3,1,0.3629280187567833,1,2,0,3,1,0.4136479202302846,1,1,True
0,4,2,-1.9865137685151029,1,2,1,2,2,0.09824944461743337,1,2,True
0,4,1,-0.6669261091796287,1,1,1,4,2,-1.5707233455896281,0,2,True
0,3,4,1.0908278468689854,0,3,0,2,0,-0.11030571868205395,0,4,False
0,4,2,0.5803955882371843,1,3,1,3,4,-1.0426868041453945,0,1,False
0,1,1,0.6102824982632188,0,2,0,4,0,-1.3516980257188405,0,3,False
0,3,0,1.3874456022824382,1,4,1,1,0,-0.2105888029665803,1,2,True
0,1,2,-1.9340547417397096,0,2,1,1,4,-0.1176393394984862,0,1,False
0,4,4,1.4130654510013476,0,3,1,2,3,0.1262189396637541,0,1,True
0,3,0,-0.755822580964299,0,1,1,1,1,-0.6141109499630667,1,2,True
0,3,2,-0.21583567637332787,0,2,0,1,0,0.005242120409549813,1,3,False
0,4,1,-1.397547173411545,1,3,1,4,4,-0.9347044685666064,0,3,True
1,3,3,1.4833160282485236,0,3,0,1,3,-0.174855300636496,1,4,False
0,1,4,1.1646404393297327,0,1,1,4,2,0.7710469476196055,1,4,False
1,3,3,-0.11429510038958798,0,3,0,2,3,2.43203370786029,1,3,True
1,1,3,-1.7288426106130672,0,2,0,1,2,-0.05956779754389702,1,1,True
0,4,0,-0.5303264757251099,1,2,0,1,3,0.09018938235385958,1,3,True
1,1,3,0.047081792456888684,0,1,1,2,1,-0.20218395117192617,1,3,True
0,1,0,-1.1504369377235848,1,4,0,3,4,-0.635490523997189,0,4,True
1,1,4,-0.8774252536793268,0,3,0,4,0,-0.29118004811896103,1,1,False
0,1,2,0.849800412396114,1,2,1,1,3,-0.5655469801744195,1,3,True
0,3,1,-0.4254670817848883,0,3,1,4,1,-1.6677654928549301,0,4,True
1,3,2,0.13937840092066084,0,4,0,4,1,-0.5277510314110245,1,1,True
1,1,1,0.3143436802710977,0,3,0,4,0,-1.4640093306189337,1,4,False
0,3,2,-2.6495726257455052,0,1,1,1,3,0.3245589096711531,1,2,False
0,1,2,0.3844814922058244,1,1,0,4,3,0.567960741346471,1,2,True
1,2,3,-0.37978301112860385,1,2,0,4,1,1.2593688345093428,0,1,False
0,4,3,-0.813667840807017,1,3,1,4,1,0.5414817587694407,1,1,True
1,1,3,-1.658942077702673,0,4,0,4,1,1.8518429590072287,0,4,False
0,1,0,-0.38162295688648856,1,2,0,4,2,-1.0215880644804647,0,1,False
0,2,1,0.10266100115086998,0,3,1,1,2,0.9984631274047207,0,2,True
0,1,1,0.6319557852435225,0,3,0,2,1,0.9324619856312993,0,3,True
0,2,4,-0.4395229150226385,0,4,0,2,3,0.4809260118420213,0,1,True
0,4,2,-1.2787065308055159,1,3,0,1,2,-0.1504829499853214,1,3,True
0,2,1,-0.9430379729950631,1,4,0,2,0,-1.7603595568201302,1,3,True
0,3,0,-0.6070135267446091,0,1,0,4,4,-1.2256028321762695,1,4,False
0,3,4,0.27821885667391866,0,3,0,2,4,1.1330949085199922,1,1,True
1,1,2,1.119604380230819,1,1,0,4,3,-1.4809949531118085,0,2,False
0,2,0,-0.9673655391349097,1,1,1,1,1,-2.1264339661585083,0,2,True
1,2,4,-1.627783715443729,1,4,1,4,2,0.9488392872211913,1,4,True
1,2,1,1.8361350659685447,0,2,0,1,1,-0.6010130660153588,1,2,True
0,3,2,0.06222939273339578,0,3,1,4,4,-1.6422809987554696,1,2,False
1,4,1,-2.332030817941593,0,2,1,3,0,-0.46833946634042567,0,2,True
0,4,2,-0.3689438299345135,1,2,0,4,2,-0.15117816595200245,0,4,True
1,2,3,1.061023840085346,0,4,0,1,0,-0.730362009271417,0,1,False
0,4,0,0.9132711521285564,1,4,1,1,4,-0.5494893979718253,0,3,False
1,2,4,0.781169221184481,1,4,0,3,0,-0.4177262554474204,1,2,True
1,2,3,-2.5559960086724347,1,4,0,1,0,-0.42715893888009554,1,1,False
0,1,0,1.5023966358425036,1,1,1,4,0,0.358492207661374,0,3,True
1,3,4,1.0733233894542031,1,4,0,1,2,1.8326091613910211,1,1,True
1,1,2,-2.357727753258114,0,1,0,4,4,0.7805508893116533,1,1,False
